drive,target_m,i0,i1,dist_m,dur_s,speed_kmh,cal_scale,err_frozen,err_AI + gyro,err_AI + road,err_perfect + road,err_AI cal + road
S-S2,500.0,6477,7697,618.4974862069444,122.0,18.250745494631147,0.8,525.6771640637957,414.9436371662995,210.75223557203586,7.32729153100303,43.53803687842769
S-S2,500.0,6926,7876,555.3053865893194,95.0,21.043151491805787,0.8,523.5490294585579,470.458327223729,263.27675763458274,1.660233926811339,99.25504219094489
S-S2,500.0,7518,8236,614.6113852333447,71.79999999999995,30.816169733148225,0.8142710597765843,502.4851193115574,492.13195764550835,307.58615372497655,2.503270699449021,136.77229383309876
S-S2,500.0,7697,8327,560.6890116326276,63.0,32.03937209329301,0.8,467.3046502167183,548.9843138742638,260.9459415928723,1.701682042901918,96.27869658223909
S-S2,500.0,8146,8417,511.44741362426885,27.100000000000023,67.94135383938621,0.8,510.82846548386004,187.92703408183243,162.01742808276057,6.2571536047773995,232.0232972825201
S-S2,500.0,8327,8776,572.9081575350738,44.89999999999998,45.934729780095026,0.8,500.94891135918823,7.627950647631138,68.0227387335708,4.311381243961259,125.41801889024677
S-S2,500.0,8417,9046,514.5562997586612,62.89999999999998,29.449963102244535,0.8738706699749093,416.01773065756146,287.477442775806,110.78240691580896,7.686714623058524,32.91776940347934
S-S2,500.0,8687,9497,567.6420409649227,81.0,25.228535153996564,0.8616924084341783,406.9388940641791,740.3352318412972,53.80226249694792,3.540344433617995,32.2201879449576
S-S2,500.0,8956,9766,593.5056013804478,81.0,26.378026728019904,0.9048174767406537,507.10569239193205,855.0958089039098,93.41333666641863,4.250399458488449,27.83573148495023
S-S2,500.0,9316,9946,504.20974603976265,63.0,28.811985487986437,1.0434973251363575,486.45103919083743,513.5354680323,98.94664729715358,3.5238720142045143,125.27060205664928
S-S2,500.0,9676,10306,533.7827614885409,63.000000000000114,30.50187208505943,0.8559494423098402,454.1511515419463,275.58853872214837,130.56740157684104,2.5536224213501497,34.58597997169317
S-S2,500.0,9946,11196,540.2125140803964,125.00000000000011,15.558120405515403,0.8715048268225299,338.4240103287721,800.9315929087323,459.7773340069665,3.739908493488642,331.7625818167529
