time,seconds_elapsed,mslAltitudeAccuracy,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,altitudeAboveMeanSeaLevel,bearing,altitude,longitude,latitude
1788107635011431000,-9.032569091796875,,20.700000762939453,1.899999976158142,1.5572443008422852,2.0829999446868896,3.852695941925049,,179,581,75.1219483,15.3706067
1788107644781391400,0.737391357421875,,0,4.099999904632568,1.6549439430236816,4.199999809265137,0,,0,581,75.12196,15.3705983
1788107645277098200,1.23309814453125,,145.60000610351562,3,1.6599010229110718,4.050000190734863,0.863189160823822,,13,581,75.1219483,15.3705933
1788107646011366000,1.967365966796875,,120.69999694824219,2.5,1.6672435998916626,3.799999952316284,0.8523799777030945,,356,581,75.121925,15.3705717
1788107646511631000,2.467631103515625,,57.099998474121094,2,1.6722463369369507,3.575000047683716,1.388205885887146,,14,581,75.1219183,15.37058
1788107647012284700,2.96828466796875,,43.29999923706055,1.7000000476837158,1.6772528886795044,3.4000000953674316,1.5354163646697998,,18,581,75.121915,15.370595
1788107647507904000,3.463904052734375,,35.099998474121094,1.5,1.6822090148925781,3.25,1.6836563348770142,,16,581,75.1219117,15.3706067
1788107648513436700,4.469436767578125,,37,2.200000047683716,1.6922643184661865,3.128000020980835,2.2848520278930664,,7,581,75.121905,15.370645
1788107649158000000,5.114000244140625,,0,0,3.305035352706909,6.260000228881836,0,,0,574.2000122070312,75.121905,15.370645
1788107650006292700,5.962292724609375,,22.799999237060547,1.899999976158142,3.3135182857513428,6.021999835968018,3.0862743854522705,,2,574.2000122070312,75.121905,15.3707017
1788107651011333600,6.967333740234375,,20.700000762939453,1.7000000476837158,3.32356858253479,5.809999942779541,3.27105975151062,,4,574.2000122070312,75.1219133,15.3707383
1788107652013192000,7.96919189453125,,19.600000381469727,1.7000000476837158,3.333587169647217,6.61299991607666,3.579378366470337,,5,574.2000122070312,75.121915,15.370775
1788107653015391200,8.97139111328125,,20.100000381469727,1.600000023841858,3.34360933303833,6.53000020980835,3.202601671218872,,10,574.2000122070312,75.121925,15.3708133
1788107654013264600,9.9692646484375,,21.600000381469727,1.600000023841858,3.353588104248047,6.4629998207092285,2.983330011367798,,20,574.2000122070312,75.12194,15.3708467
1788107655010682000,10.96668212890625,,30.600000381469727,1.7999999523162842,3.3635621070861816,2.059999942779541,2.336838960647583,,21,574.2000122070312,75.1219567,15.370875
1788107656009492700,11.96549267578125,,14.100000381469727,1.2000000476837158,3.3735501766204834,2.0329999923706055,2.9673736095428467,,23,574.2000122070312,75.1219683,15.370905
1788107657013468700,12.96946875,,16,1.399999976158142,3.38358998298645,1.9600000381469727,3.460477590560913,,25,574.2000122070312,75.1219817,15.3709367
