time,seconds_elapsed,z,y,x
150421328016514,0.120223,-0.1082125,0.0609125,0.0391875
150421338017745,0.130224,-0.168025,0.1892,0.0746625
150421348018951,0.140225,-0.2072125,0.2759625,0.117425
150421358020163,0.150226,-0.2327875,0.318725,0.156475
150421368021369,0.160227,-0.24255,0.3333,0.187
150421378022510,0.170229,-0.2352625,0.307725,0.2017125
150421388023744,0.180230,-0.20845,0.214775,0.1956625
150421398024975,0.190231,-0.1632125,0.0719125,0.16499999
150421408026201,0.200232,-0.117975,-0.0881375,0.10395
150421418027436,0.210233,-0.0935,-0.20185,0.051425
150421428028681,0.220235,-0.08745,-0.2336125,0.0331375
150421438029927,0.230236,-0.1021625,-0.19195,0.0367125
150421448030924,0.240237,-0.1216875,-0.100375,0.0611875
150421458032153,0.250238,-0.1387375,-0.001375,0.1076625
150421468033389,0.260239,-0.1387375,0.0669625,0.1271875
150421478034619,0.270241,-0.1155,0.0999625,0.0991375
150421488035850,0.280242,-0.0862125,0.092675,0.018424999
150421498037077,0.290243,-0.043449998,0.0889625,-0.0939125
150421508038308,0.300244,0.004125,0.1379125,-0.1843875
150421518039519,0.310246,0.0078375,0.2343,-0.2259125
150421528040674,0.320247,0.004125,0.363825,-0.21615
150421538041980,0.330248,-0.0031625,0.4873,-0.1684375
150421548043218,0.340249,0.0176,0.5641625,-0.10615
150421558044358,0.350250,0.11165,0.55935,-0.091437496
150421568045572,0.360252,0.1654125,0.534875,-0.0853875
150421578046773,0.370253,0.219175,0.451825,-0.0853875
150421588048004,0.380254,0.24365,0.3040125,-0.1013375
150421598049226,0.390255,0.246125,0.0584375,-0.1403875
150421608050457,0.400256,0.2338875,-0.0820875,-0.1769625
150421618051693,0.410258,0.373175,-0.2849,-0.1551
150421628052924,0.420259,0.428175,-0.4802875,-0.136675
150421638054155,0.430260,0.4904625,-0.7161,-0.0768625
150421648055375,0.440261,0.5075125,-0.6257625,-0.0011
150421658056376,0.450262,0.5490375,-0.619575,0.0771375
150421668057619,0.460264,0.5245625,-0.7063375,0.067375
150421678058836,0.470265,0.451275,-0.71005,-0.0243375
150421688060085,0.480266,0.4037,-0.65505,-0.11715
150421698061316,0.490267,0.390225,-0.508475,-0.21367499
150421708062547,0.500269,0.3975125,-0.1749,-0.3102
150421718063778,0.510270,0.3999875,-0.0331375,-0.3834875
150421728064934,0.520271,0.335225,0.2099625,-0.456775
150421738066239,0.530272,0.2057,0.3773,-0.4750625
150421748067409,0.540273,0.1276,0.4090625,-0.4079625
150421758068653,0.550275,0.0908875,0.2539625,-0.285725
150421768069879,0.560276,0.075075,0.0572,-0.1233375
150421778071124,0.570277,0.0506,-0.105325,0.062425
150421788072364,0.580278,-0.0166375,-0.2567125,0.217525
150421798073595,0.590280,-0.1692625,-0.506,0.319
150421808074826,0.600281,-0.106975,-0.8053375,0.4521
150421818076062,0.610282,-0.0801625,-0.8151,0.3862375
150421828077297,0.620283,-0.043449998,-0.605,0.28105
150421838078528,0.630285,-0.034925,-0.4877125,0.1186625
150421848079505,0.640286,-0.139975,-0.304425,0.0466125
150421858080749,0.650287,-0.1546875,-0.1186625,0.05995
150421868081965,0.660288,-0.1546875,-0.0246125,0.0111375
150421878083196,0.670289,-0.1265,0.0303875,-0.042625
