time,seconds_elapsed,z,y,x
150421328016514,0.120223,7.793193,5.744081,1.520421
150421338017745,0.130224,7.886934,5.624645,1.483119
150421348018951,0.140225,7.970461,5.533802,1.374334
150421358020163,0.150226,7.939355,5.620564,1.189933
150421368021369,0.160227,7.871109,5.739956,1.067056
150421378022510,0.170229,7.80482,5.850392,0.947493
150421388023744,0.180230,7.742491,5.949398,0.835723
150421398024970,0.190231,7.683114,6.037991,0.743293
150421408026206,0.200232,7.626218,6.117197,0.678737
150421418027450,0.210233,7.578306,6.18236,0.622679
150421428028696,0.220235,7.600465,6.162347,0.546307
150421438029922,0.230236,7.596602,6.157773,0.642995
150421448030924,0.240237,7.553062,6.207368,0.678097
150421458032153,0.250238,7.531827,6.240353,0.607905
150421468033389,0.260239,7.506399,6.276545,0.546775
150421478034619,0.270241,7.487692,6.303534,0.489751
150421488035850,0.280242,7.479202,6.317219,0.440764
150421498037077,0.290243,7.483187,6.315108,0.401665
150421508038288,0.300244,7.505722,6.289429,0.383696
150421518039519,0.310246,7.526528,6.265499,0.367251
150421528040674,0.320247,7.541863,6.248567,0.340156
150421538041985,0.330248,7.564202,6.223652,0.298393
150421548043218,0.340249,7.565774,6.2242,0.241741
150421558044358,0.350250,7.565587,6.22631,0.187073
150421568045572,0.360252,7.563997,6.229505,0.138487
150421578046773,0.370253,7.562456,6.23204,0.104121
150421588048009,0.380254,7.562449,6.232317,0.086699
150421598049226,0.390255,7.576874,6.214854,0.080997
150421608050462,0.400256,7.585591,6.204193,0.08259
150421618051693,0.410258,7.595243,6.191986,0.107752
150421628052924,0.420259,7.607689,6.175615,0.157594
150421638054144,0.430260,7.619054,6.158691,0.246064
150421648055375,0.440261,7.627701,6.145015,0.311433
150421658056376,0.450262,7.624841,6.143061,0.405758
150421668057619,0.460264,7.60997,6.154023,0.506226
150421678058836,0.470265,7.604854,6.15122,0.607219
150421688060085,0.480266,7.606415,6.139262,0.701371
150421698061316,0.490267,7.614368,6.119442,0.783503
150421708062547,0.500269,7.631448,6.09105,0.83671
150421718063778,0.510270,7.648181,6.063873,0.880219
