time,seconds_elapsed,mslAltitudeAccuracy,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,altitudeAboveMeanSeaLevel,bearing,altitude,longitude,latitude
1788164995807163000,0.914162841796875,,0,3.0999999046325684,4.373105525970459,3.0999999046325684,0.05919305607676506,,0,574.2000122070312,75.1219417,15.37056
1788164996307997200,1.4149970703125,,0,2.5999999046325684,4.378114223480225,3.0999999046325684,0,,0,574.2000122070312,75.1219417,15.3705633
1788164997014615300,2.121615234375,,179.89999389648438,2.0999999046325684,4.3851799964904785,3.065999984741211,0.11426833271980286,,339,574.2000122070312,75.1219433,15.370565
1788164997513253000,2.620253173828125,,0,1.7999999523162842,4.390166759490967,3.0250000953674316,0,,0,574.2000122070312,75.12194,15.3705733
1788164998016164400,3.123164306640625,,0,1.600000023841858,4.395195484161377,3,0,,0,574.2000122070312,75.1219383,15.3705767
1788164998633282800,3.74028271484375,,0,1.5,4.401366710662842,2.9830000400543213,0,,0,574.2000122070312,75.1219383,15.3705783
1788164999548281300,4.65528125,,0,1.399999976158142,3.3141841888427734,2.9709999561309814,0,,0,573.2999877929688,75.1219367,15.3705867
1788165001014893800,6.121893798828125,,179.5,3.200000047683716,3.328850269317627,2.941999912261963,0.6809775233268738,,301,573.2999877929688,75.1218983,15.3706233
1788165002012582400,7.11958251953125,,0,2.5999999046325684,3.33882737159729,2.9140000343322754,0,,0,573.2999877929688,75.1218833,15.3706433
1788165003018751500,8.12575146484375,,0,3.4000000953674316,3.348888874053955,2.9000000953674316,0,,0,573.2999877929688,75.121875,15.3706533
1788165004015006000,9.122005859375,,0,2.700000047683716,3.358851432800293,2.9000000953674316,0,,0,573.2999877929688,75.1218617,15.3706683
1788165005008053500,10.115053466796875,,0,2.0999999046325684,3.3687820434570312,2.9000000953674316,0,,0,573.2999877929688,75.1218433,15.370685
1788165006016152600,11.123152587890624,,0,1.7000000476837158,3.3788628578186035,2.880000114440918,0,,0,573.2999877929688,75.1218417,15.370705
1788165006466000000,11.572999755859374,,0,0,2.7418744564056396,5.864999771118164,0,,0,573.2000122070312,75.1218417,15.370705
1788165007016378400,12.12337841796875,,38.099998474121094,1.5,2.747378349304199,5.8480000495910645,1.6115952730178833,,325,573.2000122070312,75.1218317,15.3707267
1788165008012866300,13.1198662109375,,39,2.0999999046325684,2.757343053817749,5.39900016784668,1.953885555267334,,346,573.2000122070312,75.12183,15.3707533
1788165009008275000,14.11527490234375,,26.700000762939453,2.200000047683716,2.7672972679138184,5.355999946594238,2.543757200241089,,1,573.2000122070312,75.1218333,15.37078
1788165010010286000,15.1172861328125,,22.799999237060547,2.200000047683716,2.7773172855377197,5.697999954223633,2.9694325923919678,,5,573.2000122070312,75.121845,15.3707983
1788165011012962000,16.119962158203126,,16,2,2.787343978881836,5.241000175476074,3.530994415283203,,5,573.2000122070312,75.12185,15.3708367
