time,seconds_elapsed,mslAltitudeAccuracy,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,altitudeAboveMeanSeaLevel,bearing,altitude,longitude,latitude
1788108179012331500,-5.78566845703125,,179.89999389648438,3,15.699999809265137,2.615999937057495,0.30368611216545105,,172,557.7,75.1269233,15.3672333
1788108186501598500,1.703598388671875,,179.89999389648438,1.899999976158142,1.1639283895492554,2.700000047683716,0.3757472336292267,,26,570.7000122070312,75.1269233,15.3672283
1788108186997429500,2.199429443359375,,62.5,1.5,1.168886661529541,2.5999999046325684,0.9707661271095276,,0,570.7000122070312,75.1269117,15.3672367
1788108187510020600,2.7120205078125,,56.70000076293945,1.600000023841858,1.1740126609802246,2.4660000801086426,1.1627575159072876,,355,570.7000122070312,75.126895,15.36725
1788108188012363500,3.214363525390625,,41.099998474121094,1.5,1.179036021232605,2.3499999046325684,1.3717347383499146,,359,570.7000122070312,75.1268917,15.367265
1788108189011092000,4.213092041015625,,38.900001525878906,1.600000023841858,1.1890233755111694,2.259999990463257,1.750570297241211,,9,570.7000122070312,75.126895,15.3672833
1788108190014427000,5.216427001953125,,20.200000762939453,1.2999999523162842,1.199056625366211,2.183000087738037,2.4490482807159424,,356,570.7000122070312,75.1268983,15.3673083
1788108191011019800,6.213019775390625,,17,1.2999999523162842,1.2090226411819458,2.114000082015991,2.7872207164764404,,346,570.7000122070312,75.1269,15.3673333
1788108192013086700,7.215086669921875,,16.899999618530273,1.399999976158142,1.219043254852295,1.8830000162124634,3.1959102153778076,,345,570.7000122070312,75.1268933,15.3673617
1788108193009011200,8.21101123046875,,17.700000762939453,1.2999999523162842,1.2290024757385254,1.7999999523162842,3.118187189102173,,356,570.7000122070312,75.12689,15.3673917
1788108193454000000,8.656000244140625,,0,0,1,4.716000080108643,0,,0,570.7999877929688,75.12689,15.3673917
1788108194012029700,9.21402978515625,,17,1.399999976158142,1.0055803060531616,4.683000087738037,3.445035934448242,,350,570.7999877929688,75.1268867,15.3674217
1788108195016310000,10.21831005859375,,17.100000381469727,1.399999976158142,1.0156230926513672,4.683000087738037,3.5845255851745605,,351,570.7999877929688,75.1268817,15.3674567
1788108196016632600,11.218632568359375,,19.700000762939453,1.600000023841858,1.025626301765442,4.698999881744385,3.6385715007781982,,347,570.7999877929688,75.126875,15.3674933
1788108197014211800,12.2162119140625,,14.800000190734863,1.5,1.03560209274292,4.716000080108643,3.974170207977295,,342,570.7999877929688,75.12686,15.36754
1788108198008829700,13.21082958984375,,11.800000190734863,1.2000000476837158,1.0455483198165894,4.284999847412109,4.314916610717773,,335,570.7999877929688,75.1268483,15.3675867
1788108199022145800,14.224145751953126,,14.899999618530273,1.5,1.0556814670562744,1.7599999904632568,4.151749610900879,,336,570.7999877929688,75.1268317,15.367625
1788108200015409700,15.21740966796875,,9,1.2000000476837158,1.065614104270935,1.75,5.155972480773926,,325,570.7999877929688,75.12681,15.3676667
1788108201017870600,16.21987060546875,,6.099999904632568,1,1.0756386518478394,1.7200000286102295,6.043868541717529,,319,570.7999877929688,75.126775,15.3677117
1788108202013955800,17.215955810546873,,7.699999809265137,1.2999999523162842,1.0855995416641235,1.715999960899353,6.312553405761719,,317,570.7999877929688,75.1267367,15.3677567
1788108203012943400,18.214943359375,,8.699999809265137,1.399999976158142,1.0955893993377686,1.7000000476837158,6.311523914337158,,314,570.7999877929688,75.1266933,15.3678
1788108204010250000,19.21225,,8,1.399999976158142,1.105562448501587,1.7000000476837158,6.523074626922607,,311,570.7999877929688,75.1266483,15.3678417
1788108205009712400,20.21171240234375,,7.800000190734863,1.2999999523162842,1.115557074546814,1.7000000476837158,4.972216606140137,,307,570.7999877929688,75.1266017,15.3678817
1788108206014466300,21.21646630859375,,7,1.2000000476837158,1.1256046295166016,1.7000000476837158,5.618707656860352,,306,570.7999877929688,75.1265467,15.3679217
1788108207010190800,22.21219091796875,,6.300000190734863,1.2000000476837158,1.1355619430541992,1.6829999685287476,5.912099361419678,,308,570.7999877929688,75.1264917,15.367965
1788108208012521500,23.214521484375,,6.599999904632568,1.2999999523162842,1.1455851793289185,1.6660000085830688,6.195196628570557,,308,570.7999877929688,75.1264367,15.3680083
1788108209012592000,24.214592041015624,,8.800000190734863,1.5,1.1555858850479126,1.6399999856948853,6.522045135498047,,306,570.7999877929688,75.1263833,15.368045
1788108210015711200,25.217711181640624,,8.699999809265137,1.399999976158142,1.1656171083450317,1.6200000047683716,6.15813684463501,,301,570.7999877929688,75.1263317,15.3680767
1788108211018371300,26.220371337890626,,7.599999904632568,1.2000000476837158,1.1756436824798584,1.600000023841858,6.078354835510254,,302,570.7999877929688,75.1262767,15.3681117
1788108212015799600,27.217799560546876,,7.5,1.2999999523162842,1.1856180429458618,1.600000023841858,6.211668014526367,,301,570.7999877929688,75.1262233,15.368145
1788108213015147500,28.2171474609375,,7.5,1.2999999523162842,1.1956114768981934,1.600000023841858,6.343951225280762,,302,570.7999877929688,75.1261717,15.3681783
1788108214015131600,29.217131591796875,,6.699999809265137,1.2000000476837158,1.2056113481521606,1.600000023841858,6.316670894622803,,304,570.7999877929688,75.1261183,15.3682167
1788108215014367200,30.2163671875,,7.400000095367432,1.2000000476837158,1.2156037092208862,1.600000023841858,5.924967288970947,,305,570.7999877929688,75.126065,15.3682517
