time,seconds_elapsed,z,y,x
195818249325012,0.000000,-0.015271631,0.24251351,0.13561209
195818257301320,0.007976,-0.015271631,0.24251351,0.13561209
195818265280666,0.015956,-0.015271631,0.24251351,0.13561209
195818273288397,0.023963,-0.015271631,0.24251351,0.13561209
195818281338743,0.032014,-0.015271631,0.24251351,0.13561209
195818289366705,0.040042,-0.015271631,0.24251351,0.13561209
195818297351974,0.048027,-0.015271631,0.24251351,0.13561209
195818305355743,0.056031,-0.015271631,0.24251351,0.13561209
195818313377012,0.064052,-0.015271631,0.24251351,0.13561209
195818321684897,0.072360,-0.015271631,0.24251351,0.13561209
195818329396051,0.080071,-0.015271631,0.24251351,0.13561209
195818337396820,0.088072,-0.015271631,0.24251351,0.13561209
195818345378474,0.096053,-0.015271631,0.24251351,0.13561209
195818353387012,0.104062,-0.015271631,0.24251351,0.13561209
195818361464281,0.112139,-0.015271631,0.24251351,0.13561209
195818369367820,0.120043,-0.015271631,0.24251351,0.13561209
195818377367204,0.128042,0.017104227,-0.017715093,-0.12156218
195818385390589,0.136066,0.022602014,-0.02565634,-0.12339478
195818393419512,0.144095,0.02565634,-0.04642576,-0.12950343
195818401470550,0.152146,0.032986723,-0.062308256,-0.14172074
195818409394319,0.160069,0.04520403,-0.07513642,-0.1600467
195818417375127,0.168050,0.055588737,-0.077579886,-0.19792034
195818425355589,0.176031,0.055588737,-0.073303826,-0.22296582
195818433364666,0.184040,0.05131268,-0.080634214,-0.24678956
195818441481358,0.192156,0.047036625,-0.07696902,-0.26267207
195818449444396,0.200119,0.040317107,-0.065973446,-0.2724459
195818457443858,0.208119,0.03848451,-0.056199603,-0.2864958
195818465429319,0.216104,0.039095376,-0.040927973,-0.29626966
195818473457435,0.224132,0.040927973,-0.0421497,-0.30604348
195818481508511,0.232183,0.054367006,-0.049480084,-0.31031954
195818489426473,0.240101,0.06414085,-0.059864793,-0.30848694
195818497407473,0.248082,0.07696902,-0.081855945,-0.30665436
195818505386704,0.256062,0.095294975,-0.09101892,-0.30543262
195818513395588,0.264071,0.10995574,-0.08735373,-0.3145956
195818521464204,0.272139,0.119729586,-0.059253927,-0.34208453
195818529369165,0.280044,0.13561209,-0.020158553,-0.36957347
195818537369665,0.288045,0.16187929,0.037873644,-0.3933972
195818545361665,0.296037,0.1863139,0.1282817,-0.42760566
195818553389165,0.304064,0.19853121,0.1863139,-0.47219884
195818561440050,0.312115,0.20952678,0.23273966,-0.5320636
195818569362319,0.320037,0.22113322,0.29077184,-0.63591075
195818577345973,0.328021,0.23273966,0.3378085,-0.70005155
195818585329973,0.336005,0.24251351,0.38423425,-0.7507534
195818593341819,0.344017,0.29871312,0.37568212,-0.8051204
195818601413280,0.352088,0.32498032,0.3378085,-0.8374963
195818609319165,0.359994,0.32498032,0.28160888,-0.8790351
195818617324549,0.368000,0.2932153,0.115453534,-0.89369583
195818625327088,0.376002,0.29077184,0.027488936,-0.8881981
195818633351588,0.384027,0.2846632,-0.08368854,-0.88208944
195818641402819,0.392078,0.28893927,-0.18081611,-0.86498517
195818649323203,0.399998,0.29871312,-0.36163223,-0.820392
195818657304049,0.407979,0.3408628,-0.56505036,-0.7147123
195818665286703,0.415962,0.37934732,-0.62858033,-0.61575216
195818673286511,0.423961,0.38545597,-0.68416905,-0.5314528
195818681357626,0.432033,0.33536503,-0.73975784,-0.47647488
195818689262972,0.439938,0.28221974,-0.79779,-0.44409904
195818697262857,0.447938,0.23701571,-0.82344633,-0.4092797
195818705269511,0.455944,0.17165314,-0.7330383,-0.4007276
195818713295164,0.463970,0.043982297,-0.61819565,-0.45142943
195818721348703,0.472024,-0.111177474,-0.3848451,-0.63713247
195818729272703,0.479948,-0.17287487,-0.16432275,-0.8350528
195818737253280,0.487928,-0.21074851,0.051923547,-1.0519099
195818745235087,0.495910,-0.2565634,0.2443461,-1.387275
195818753222049,0.503897,-0.22602014,0.43860126,-1.6328428
195818761294664,0.511970,-0.092240654,0.61269784,-1.7880026
195818769200395,0.519875,-0.029932396,0.59864795,-1.9150625
195818777201395,0.527876,-0.061086524,0.5002986,-1.9975294
195818785222010,0.535897,-0.10751228,0.4813618,-2.0415115
195818793229664,0.543905,-0.1301143,0.6719518,-2.0158553
195818801282703,0.551958,-0.13439035,0.89552844,-1.971873
195818809202972,0.559878,-0.14660765,1.1007792,-1.917506
195818817184241,0.567859,-0.14966199,1.1068878,-1.8374827
195818825166241,0.575841,-0.15577064,1.073901,-1.7446312
195818833163318,0.583838,-0.21624629,1.2699889,-1.6530013
195818841234087,0.591909,-0.20708331,1.2382239,-1.5589281
195818849138087,0.599813,-0.16310102,1.0726794,-1.4446963
