time,seconds_elapsed,z,y,x
195818257111012,0.007786,-0.0025453568,-0.0021457672,-3.540516E-5
195818265090743,0.015766,0.03688526,0.011850834,0.07312733
195818273098435,0.023773,-0.02543497,0.098704815,0.01782149
195818281085743,0.031761,-0.12049675,0.14793444,-0.107013226
195818289176012,0.039851,-0.181036,0.10019636,-0.14962405
195818297161628,0.047837,-0.11200571,-5.636215E-4,-0.042278618
195818305165166,0.055840,0.041339874,-0.050467014,0.028375626
195818313186704,0.063862,0.115255356,-0.0719018,0.051401794
195818321431435,0.072106,0.13783121,-0.06544495,0.09670371
195818329205858,0.079881,0.13544226,-0.029240131,0.08083928
195818337206627,0.087882,0.087658405,-0.042978764,0.099776804
195818345187897,0.095863,0.09173155,-0.048913956,0.08081424
195818353197089,0.103872,0.113055706,-0.014845848,0.058040798
195818361203781,0.111879,0.06154394,-0.052469254,-0.019988835
195818369177473,0.119852,0.0036497116,-0.033695698,-0.06118554
195818377176935,0.127852,-0.023382187,-0.019512653,-0.12868732
195818385200358,0.135875,-0.07595396,0.052593708,-0.15825409
195818393229320,0.143904,-0.097826004,0.06790781,-0.2063643
195818401210281,0.151885,-0.13197708,0.026484013,-0.184147
195818409204166,0.159879,-0.17628574,-0.03960085,-0.07955098
195818417184743,0.167860,-0.15196466,-0.0828495,-0.010039657
195818425165358,0.175840,-0.112466335,-0.13362074,0.07393834
195818433174281,0.183849,-0.03841877,-0.14941788,0.10731691
195818441220781,0.191896,0.017348766,-0.12863684,0.1072157
195818449254435,0.199929,0.04291582,-0.16944933,0.12205601
195818457253704,0.207929,0.030304909,-0.09466219,0.022845685
195818465239242,0.215914,0.049773216,-0.1650877,-0.022832572
195818473266935,0.223942,0.11529875,-0.1794548,-0.091134876
195818481247858,0.231923,0.12790823,-0.1633954,-0.19592443
195818489236281,0.239911,0.12468815,-0.15525436,-0.20131241
195818497217550,0.247893,0.09942961,-0.06467199,-0.17249519
195818505196896,0.255872,0.003212452,-0.024605274,-0.12535882
195818513205588,0.263881,-0.033892155,0.085371494,-0.16680779
195818521203973,0.271879,-0.080078125,0.10852909,-0.2091128
195818529179165,0.279854,-0.07371855,0.3820119,-0.4952684
195818537179473,0.287854,-0.08398104,0.4626832,-0.5233886
195818545171934,0.295847,-0.21801186,0.32404852,-0.40278518
195818553198819,0.303874,-0.49534702,0.16951847,-0.26706278
195818561180088,0.311855,-0.840436,-0.10153437,-0.11152977
