time,seconds_elapsed,z,y,x
195818257111012,0.007786,6.7805305,7.0650406,0.529154
195818265090743,0.015766,6.781801,7.063015,0.5397883
195818273098435,0.023773,6.7722955,7.0719295,0.5424217
195818281085743,0.031761,6.7524357,7.0921316,0.52599853
195818289176012,0.039851,6.7315717,7.1135335,0.5039659
195818297161628,0.047837,6.7247906,7.1209197,0.48999435
195818305165166,0.055840,6.7294626,7.115756,0.500743
195818313186704,0.063862,6.7441325,7.101278,0.5088414
195818321431435,0.072106,6.759864,7.085244,0.5233945
195818329205858,0.079881,6.7718296,7.0729814,0.53447056
195818337206627,0.087882,6.7813063,7.062778,0.5490519
195818345187897,0.095863,6.7915983,7.051954,0.5608318
195818353197089,0.103872,6.8013988,7.0418277,0.56924003
195818361203781,0.111879,6.809815,7.0339613,0.5658668
195818369177473,0.119852,6.8126426,7.031947,0.5567853
195818377176935,0.127852,6.8061557,7.039312,0.54288423
195818385200358,0.135875,6.803661,7.04382,0.51499015
195818393229320,0.143904,6.792014,7.0572367,0.4840917
195818401210281,0.151885,6.7806754,7.0699296,0.457086
195818409204166,0.159879,6.769917,7.080948,0.44586384
195818417184743,0.167860,6.7647495,7.0858893,0.44578436
195818425165358,0.175840,6.765953,7.083988,0.45757446
195818433174281,0.183849,6.7733083,7.0758433,0.47447407
195818441220781,0.191896,6.7869725,7.062245,0.48175794
195818449254435,0.199929,6.7997127,7.047991,0.5100132
195818457253704,0.207929,6.814718,7.0330586,0.5158497
195818465239242,0.215914,6.826374,7.0220814,0.5112497
195818473266935,0.223942,6.849434,7.0005355,0.49814916
195818481247858,0.231923,6.8727374,6.9796877,0.46886343
195818489236281,0.239911,6.895111,6.9595757,0.43833837
195818497217550,0.247893,6.9083986,6.948002,0.41191536
195818505196896,0.255872,6.911242,6.9462423,0.39350942
195818513205588,0.263881,6.902857,6.9559755,0.36792073
195818521203973,0.271879,6.889188,6.971125,0.33600548
195818529179165,0.279854,6.856492,7.0064945,0.26063663
195818537179473,0.287854,6.8164763,7.0479274,0.18101782
195818545171934,0.295847,6.77573,7.0884,0.1202694
195818553198819,0.303874,6.79928,7.065759,0.123410694
