time,seconds_elapsed,mslAltitudeAccuracy,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,altitudeAboveMeanSeaLevel,bearing,altitude,longitude,latitude
1788164376367000000,-1.248,,45,1.5,1,15.494000434875488,0,,0,570.7999877929688,75.1269322,15.3672608
1788164383163951900,5.548951904296875,,0,4,1.067969560623169,7.599999904632568,0,,0,570.7999877929688,75.1271183,15.3674033
1788164384988939800,7.373939697265625,,0,4.400000095367432,1.026909351348877,7.300000190734863,0,,0,570.7999877929688,75.127335,15.3676433
1788164385997931800,8.382931884765625,,0,3.9000000953674316,1.0369993448257446,7.132999897003174,0,,0,570.7999877929688,75.12727,15.367605
1788164386998903800,9.38390380859375,,0,3.9000000953674316,1.047008991241455,6.974999904632568,0,,0,570.7999877929688,75.1272783,15.367495
1788164388007726600,10.3927265625,,0,3,1.057097315788269,6.800000190734863,0,,0,570.7999877929688,75.1273017,15.3674017
1788164389010969300,11.39596923828125,,0,2.299999952316284,1.0671297311782837,6.460000038146973,0,,0,570.7999877929688,75.1273133,15.3673433
1788164390007354000,12.39235400390625,,0,1.899999976158142,1.0770936012268066,6.179999828338623,0,,0,570.7999877929688,75.1273017,15.367285
1788164391008038400,13.393038330078125,,35.900001525878906,1.7000000476837158,1.0871003866195679,5.920000076293945,1.800498366355896,,13,570.7999877929688,75.1273267,15.3672617
1788164392011543600,14.39654345703125,,27.299999237060547,1.5,1.0971354246139526,5.679999828338623,2.1052138805389404,,11,570.7999877929688,75.1273117,15.3672233
1788164393015530500,15.400530517578124,,26.799999237060547,2.0999999046325684,1.107175350189209,5.480000019073486,2.9339165687561035,,10,570.7999877929688,75.1273217,15.367225
1788164393251000000,15.636,,0,0,1,6.986000061035156,0,,0,570.8999633789062,75.1273217,15.367225
1788164394009559000,16.39455908203125,,19.700000762939453,1.7999999523162842,1.0075856447219849,6.688000202178955,3.7816641330718994,,5,570.8999633789062,75.1273217,15.36719
1788164395010510800,17.3955107421875,,15.100000381469727,1.7999999523162842,1.0175950527191162,6.685999870300293,4.533158779144287,,2,570.8999633789062,75.1272733,15.3672467
1788164396010922200,18.395922119140625,,17,1.7000000476837158,1.0275992155075073,6.552999973297119,4.119321823120117,,359,570.8999633789062,75.1272283,15.3672833
1788164397012278000,19.397278076171876,,17.399999618530273,1.600000023841858,1.037612795829773,6.435999870300293,3.7636489868164062,,351,570.8999633789062,75.1271967,15.36733
1788164398013319400,20.3983193359375,,20.5,1.7000000476837158,1.0476231575012207,6.173999786376953,3.5237884521484375,,343,570.8999633789062,75.127155,15.3673367
1788164399007670500,21.39267041015625,,19.200000762939453,1.600000023841858,1.05756676197052,4.683000087738037,3.454300880432129,,336,570.8999633789062,75.1271083,15.36734
1788164400010685400,22.395685546875,,22.200000762939453,1.899999976158142,1.0675969123840332,4.579999923706055,3.4805517196655273,,342,570.8999633789062,75.12708,15.36734
1788164401011979500,23.3969794921875,,24.799999237060547,2.200000047683716,1.0776097774505615,4.539999961853027,3.4383444786071777,,345,570.8999633789062,75.1270567,15.3673533
1788164402011906800,24.39690673828125,,25.700000762939453,2,1.087609052658081,4.515999794006348,3.409519910812378,,341,570.8999633789062,75.1270583,15.367385
1788164403009607200,25.394607177734375,,25.100000381469727,2,1.0975860357284546,4.482999801635742,3.659674882888794,,331,570.8999633789062,75.1270433,15.3673917
