time,seconds_elapsed,mslAltitudeAccuracy,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,altitudeAboveMeanSeaLevel,bearing,altitude,longitude,latitude
1788164601589441500,-1.883558349609375,,179.89999389648438,9.699999809265137,23.5,6.232999801635742,1.5256366729736328,,249,27.200000000000003,75.12287,15.3697517
1788164607537000000,4.064,,0,0,4.273967266082764,246.40199279785156,0,,0,571.3999633789062,75.12287,15.3697517
1788164609233224200,5.76022412109375,,0,5.099999904632568,4.290929317474365,7.800000190734863,0,,0,571.3999633789062,75.122625,15.3698883
1788164610234306300,6.761306396484375,,0,4.5,4.30094051361084,7.699999809265137,0,,0,571.3999633789062,75.1225483,15.3699983
1788164612012923100,8.539923095703125,,0,4.300000190734863,4.318726539611816,7.599999904632568,0,,0,571.3999633789062,75.1224417,15.3700683
1788164613012245800,9.539245849609374,,0,3.4000000953674316,4.328719615936279,7.5,0,,0,571.3999633789062,75.12242,15.3701867
1788164614013319000,10.54031884765625,,33.79999923706055,2.700000047683716,4.338730335235596,7.360000133514404,3.241205930709839,,342,571.3999633789062,75.1225217,15.37004
1788164615017071000,11.544071044921875,,0,2.299999952316284,4.3487677574157715,7.099999904632568,0,,0,571.3999633789062,75.1225767,15.3699867
1788164615752000000,12.279,,0,0,2.759892702102661,12.758999824523926,0,,0,572.5999755859375,75.1225767,15.3699867
1788164616010848500,12.5378486328125,,0,2.0999999046325684,2.762481212615967,11.682000160217285,0,,0,572.5999755859375,75.1226383,15.3699933
1788164617010455000,13.537455078125,,17.399999618530273,1.899999976158142,2.772477149963379,10.871000289916992,4.1862359046936035,,11,572.5999755859375,75.1229967,15.3699
1788164618010716200,14.537716064453125,,15.899999618530273,1.7000000476837158,2.782479763031006,10.642000198364258,4.156382083892822,,14,572.5999755859375,75.1230533,15.3698617
1788164619013162800,15.540162841796874,,13.5,1.5,2.79250431060791,10.413000106811523,4.245943546295166,,9,572.5999755859375,75.1230033,15.3698817
1788164620008038000,16.535037841796875,,16.700000762939453,2,2.80245304107666,10.199000358581543,4.705075740814209,,12,572.5999755859375,75.1228567,15.369975
1788164621012638700,17.539638671875,,17.600000381469727,2.0999999046325684,2.8124990463256836,5.539999961853027,4.796696186065674,,15,572.5999755859375,75.1227533,15.370075
1788164622012308500,18.53930859375,,18.899999618530273,2.0999999046325684,2.822495698928833,5.21999979019165,4.385433197021484,,17,572.5999755859375,75.1224683,15.370395
1788164623008009500,19.535009521484376,,23.100000381469727,2.4000000953674316,2.8324527740478516,5.083000183105469,3.9654200077056885,,24,572.5999755859375,75.1224817,15.370415
1788164624012311600,20.5393115234375,,29.299999237060547,2.5999999046325684,2.842495918273926,4.849999904632568,3.3971667289733887,,34,572.5999755859375,75.12249,15.37044
1788164625016240400,21.543240478515624,,23.200000762939453,2.0999999046325684,2.8525350093841553,4.480000019073486,3.3817250728607178,,71,572.5999755859375,75.12242,15.370535
1788164626009580800,22.536580810546877,,27.5,2.5,2.8624684810638428,4.433000087738037,3.3086345195770264,,76,572.5999755859375,75.1224133,15.3705133
1788164627014620000,23.541619873046876,,17.799999237060547,1.7000000476837158,2.872519016265869,4.260000228881836,3.345179796218872,,83,572.5999755859375,75.122385,15.3705133
1788164627246000000,23.773000244140626,,0,0,2.026641607284546,5.775000095367432,0,,0,573.2000122070312,75.122385,15.3705133
1788164628010523000,24.53752294921875,,12.600000381469727,1.600000023841858,2.0342867374420166,5.691999912261963,4.182632923126221,,86,573.2000122070312,75.1222783,15.3705533
1788164629010240800,25.53724072265625,,13.100000381469727,1.899999976158142,2.0442841053009033,5.965000152587891,4.260870456695557,,83,573.2000122070312,75.1225117,15.3708167
1788164630011402000,26.538402099609375,,13.600000381469727,2.200000047683716,2.054295539855957,6.2789998054504395,4.084321022033691,,86,573.2000122070312,75.1224667,15.3708417
1788164631010408700,27.53740869140625,,15.199999809265137,2.200000047683716,2.0642857551574707,6.892000198364258,4.120866298675537,,83,573.2000122070312,75.12272,15.3706367
1788164632012264700,28.5392646484375,,16,2.299999952316284,2.0743043422698975,6.849999904632568,4.187265396118164,,82,573.2000122070312,75.1223667,15.37069
1788164633010324200,29.53732421875,,17.799999237060547,2.0999999046325684,2.084284782409668,6.065999984741211,4.2526350021362305,,80,573.2000122070312,75.1220783,15.3707783
1788164634015279600,30.542279541015624,,17,1.899999976158142,2.094334363937378,6.099999904632568,4.368447303771973,,83,573.2000122070312,75.1220417,15.3707317
1788164635013497600,31.54049755859375,,16.100000381469727,1.600000023841858,2.104316473007202,5.820000171661377,4.462641716003418,,84,573.2000122070312,75.1217617,15.3707967
1788164636011028200,32.5380283203125,,12.5,1.5,2.1142919063568115,5.639999866485596,4.614999294281006,,86,573.2000122070312,75.12174,15.3706333
1788164637013221600,33.5402216796875,,13.399999618530273,1.7000000476837158,2.1243138313293457,5.840000152587891,4.785887241363525,,84,573.2000122070312,75.1216667,15.3708083
1788164638011744800,34.53874487304687,,12.600000381469727,1.399999976158142,2.1342990398406982,6.440000057220459,4.84816837310791,,85,573.2000122070312,75.12189,15.3710383
1788164639010605000,35.53760498046875,,12,1.399999976158142,2.144287586212158,6.515999794006348,4.826035499572754,,83,573.2000122070312,75.124465,15.3709333
1788164640016143000,36.54314306640625,,12.600000381469727,1.5,3.1248226165771484,6.679999828338623,4.782284259796143,,81,576.8999633789062,75.12367,15.37137
1788164641011030500,37.53803051757812,,9.899999618530273,1.600000023841858,3.1347715854644775,6.679999828338623,4.832726955413818,,76,576.8999633789062,75.1236883,15.3715133
1788164642015103200,38.54210327148437,,9.899999618530273,1.7000000476837158,3.1448123455047607,6.099999904632568,4.941333293914795,,72,576.8999633789062,75.12371,15.3716
1788164643013282800,39.54028271484375,,11.399999618530273,1.600000023841858,3.154794216156006,5.239999771118164,5.064352035522461,,71,576.8999633789062,75.123805,15.3716583
1788164644015008300,40.54200830078125,,11.199999809265137,1.5,3.164811372756958,4.739999771118164,5.144648551940918,,70,576.8999633789062,75.1237867,15.3716383
1788164645012772900,41.53977294921875,,11.5,1.399999976158142,3.1747889518737793,4.650000095367432,5.199723720550537,,70,576.8999633789062,75.1237317,15.3715767
1788164646017571800,42.54457177734375,,9.399999618530273,1.5,3.1848371028900146,4.400000095367432,5.2959771156311035,,75,576.8999633789062,75.1237933,15.37165
1788164647014222300,43.54122241210938,,8.300000190734863,1.600000023841858,3.194803476333618,4.333000183105469,5.458629131317139,,80,576.8999633789062,75.12383,15.3715517
1788164648017967900,44.5449677734375,,9.100000381469727,1.7000000476837158,3.204840898513794,4.139999866485596,5.678415775299072,,82,576.8999633789062,75.1238967,15.3715567
1788164649014702600,45.54170263671875,,9.699999809265137,1.7999999523162842,3.214808225631714,4.099999904632568,5.933717727661133,,81,576.8999633789062,75.123935,15.3715017
1788164650014556200,46.54155615234375,,12.399999618530273,1.600000023841858,3.224806785583496,3.9600000381469727,5.736064434051514,,87,576.8999633789062,75.12406,15.3715083
1788164651014984200,47.541984130859376,,17.799999237060547,1.899999976158142,3.2348110675811768,3.9159998893737793,4.917655944824219,,93,576.8999633789062,75.1241683,15.3715233
1788164652011304000,48.53830395507813,,14.600000381469727,1.7999999523162842,3.244774341583252,3.815999984741211,5.202812194824219,,102,576.8999633789062,75.12421,15.3713967
1788164653014781400,49.54178149414062,,11.699999809265137,1.7000000476837158,3.2548091411590576,3.7160000801086426,5.97180700302124,,101,576.8999633789062,75.1242433,15.3713433
1788164654014096000,50.541095947265624,,11.699999809265137,1.899999976158142,3.2648022174835205,3.615999937057495,6.744405269622803,,96,576.8999633789062,75.1242917,15.371305
