lat,lon
15.367282920281346,75.1268812368054
15.36859560009116,75.12563106648743
15.36888694943096,75.12526535128022
15.3696318875,75.1249230125
15.370187763636364,75.12478484545453
15.370632540188966,75.12461461779378
15.37108673306524,75.12431076946295
15.371208915259464,75.12410767086112
15.371267311943086,75.12378524975904
15.37128427029406,75.12364925095595
15.371140990393805,75.12295707232667
15.371113580658594,75.12291587062097
15.371068758904752,75.12248664272242
15.370925821476767,75.12196639225493
15.371194820920396,75.12324038433418
