time,seconds_elapsed,z,y,x
195564849756825,0.000000,0.034896374,0.035160065,-0.0026305914
195564857743556,0.007987,0.14687777,0.04290104,-0.0031641722
195564865772902,0.016016,0.15819597,0.047439575,0.07692036
195564873744171,0.023987,0.055137634,0.025184631,0.0729
195564881800979,0.032044,-0.078808784,0.02481985,0.015974998
195564889773902,0.040017,-0.24453974,0.03314829,-0.064254105
195564897790671,0.048034,-0.3690648,-0.025488853,-0.09344429
195564905794556,0.056038,-0.33528614,-0.12231636,-0.11002278
195564913834363,0.064078,-0.091246605,-0.16635847,-0.09409821
195564921850902,0.072094,0.13928843,-0.20856142,-0.120719016
195564929837594,0.080081,0.23086023,-0.16069126,-0.20932007
195564937811056,0.088054,0.17432451,-0.09528494,-0.27178866
195564945846863,0.096090,0.08287525,-0.07434225,-0.23421776
195564953820209,0.104063,-0.066260815,-0.0878706,-0.15499413
195564961877594,0.112121,-0.08982706,-0.15637064,-0.05992037
195564969851440,0.120095,-0.03940153,-0.129745,-0.007201433
195564977867632,0.128111,0.003914833,-0.08172417,-0.0056313276
195564985874632,0.136118,0.00971365,-0.08738661,0.0048419833
195564993858671,0.144102,7.534027E-5,-0.06966257,-0.039798617
195565001874171,0.152117,-0.013802052,-0.08673525,-0.057913125
195565009949901,0.160193,-0.030979633,-0.105811596,-0.056100726
195565017993325,0.168237,-0.0043172836,-0.0988636,-0.029588282
195565026088632,0.176332,0.21896362,-0.093682766,0.03183055
195565034059709,0.184303,0.36168242,-0.042531967,0.07123476
195565042115248,0.192358,0.31507874,0.011354923,0.05110377
195565050087094,0.200330,0.17433882,0.020092964,0.051352203
195565058101671,0.208345,0.0044374466,0.0043911934,0.09013635
195565066105863,0.216349,-0.08821964,0.012938976,0.14675671
195565074090247,0.224333,-0.16168022,0.028743744,0.12397915
195565082106017,0.232349,-0.23213482,0.027648926,0.08617365
195565090092901,0.240336,-0.28209782,-0.012238026,0.037233472
195565098067478,0.248311,-0.30403614,-0.007701397,-0.001110673
195565106106863,0.256350,-0.25487185,-0.021062374,-0.01971066
195565114079747,0.264323,-0.08675432,-0.012265682,0.010529935
195565122136324,0.272379,0.007910728,0.021870136,0.04755485
195565130108324,0.280351,0.06655979,0.045780182,0.07106936
195565138124939,0.288368,0.21109915,0.07565212,0.20283943
195565146130363,0.296374,0.40044832,0.024971485,0.40721932
195565154113670,0.304357,0.53484106,0.031606674,0.505833
195565162131901,0.312375,0.59546375,0.09280062,0.45543435
195565170116670,0.320360,0.49948072,0.16217852,0.2382142
195565178112670,0.328356,0.36264133,0.17656231,0.11674631
195565186186747,0.336430,0.2678032,0.17512655,0.07548487
195565194281285,0.344524,0.1548605,0.1317358,0.08970189
195565202328862,0.352572,0.03763342,0.11409235,0.11981538
195565210336208,0.360579,-0.050931454,0.106059074,0.13016844
195565218369208,0.368612,-0.12595415,0.10855198,0.12716258
195565226356362,0.376600,-0.20643711,0.13819838,0.087222606
195565234353362,0.384597,-0.18261623,0.12598658,0.018061578
