time,seconds_elapsed,z,y,x
195564849946902,0.000190,-0.20158553,-0.1301143,-0.35918877
195564857933787,0.008177,-0.20158553,-0.1301143,-0.35918877
195564865963094,0.016206,-0.20158553,-0.1301143,-0.35918877
195564873934171,0.024177,-0.20158553,-0.1301143,-0.35918877
195564882053864,0.032297,-0.20158553,-0.1301143,-0.35918877
195564889963863,0.040207,-0.20158553,-0.1301143,-0.35918877
195564897980633,0.048224,-0.20158553,-0.1301143,-0.35918877
195564905984710,0.056228,-0.20158553,-0.1301143,-0.35918877
195564914024863,0.064268,-0.20158553,-0.1301143,-0.35918877
195564922103786,0.072347,-0.20158553,-0.1301143,-0.35918877
195564930028017,0.080271,-0.20158553,-0.1301143,-0.35918877
195564938001325,0.088245,-0.20158553,-0.1301143,-0.35918877
195564946037094,0.096280,-0.20158553,-0.1301143,-0.35918877
195564954010709,0.104254,-0.20158553,-0.1301143,-0.35918877
195564962137748,0.112381,-0.20158553,-0.1301143,-0.35918877
195564970041632,0.120285,-0.20158553,-0.1301143,-0.35918877
195564978057825,0.128301,-0.0421497,-0.025045475,-0.022602014
195564986065017,0.136308,-0.03970624,-0.021380283,-0.028710667
195564994048902,0.144292,-0.032986723,-0.013439035,-0.03359759
195565002134286,0.152377,-0.025045475,-0.007941248,-0.03481932
195565010140094,0.160383,-0.015882496,-0.012217305,-0.036651913
195565018183286,0.168426,-6.1086525E-4,-0.029321533,-0.04153884
195565026278632,0.176522,0.009773844,-0.042760566,-0.03848451
195565034250171,0.184493,0.02076942,-0.04337143,-0.010995574
195565042375401,0.192619,0.026267206,-0.030543262,0.019547688
195565050277247,0.200520,0.037873644,-0.029321533,0.047036625
195565058291671,0.208535,0.047036625,-0.036651913,0.0580322
195565066295632,0.216539,0.045814894,-0.03848451,0.0580322
195565074280401,0.224524,0.040927973,-0.037873644,0.05497787
195565082365747,0.232609,0.035430185,-0.042760566,0.03970624
195565090282863,0.240526,0.032375857,-0.050701816,0.022602014
195565098257863,0.248501,0.036651913,-0.061086524,-0.0067195175
195565106297286,0.256540,0.042760566,-0.065973446,-0.03481932
195565114270324,0.264513,0.05131268,-0.058643065,-0.058643065
195565122396401,0.272640,0.07086037,-0.029932396,-0.07391469
195565130298016,0.280541,0.07941248,-0.002443461,-0.080634214
195565138314901,0.288558,0.086132,0.020158553,-0.08307768
195565146320939,0.296564,0.077579886,0.02565634,-0.07147124
195565154303939,0.304547,0.06047566,0.023823744,-0.05009095
195565162392016,0.312635,0.04153884,0.02443461,-0.019547688
195565170306901,0.320550,0.02443461,0.0012217305,0.021991149
