ride,kind,variant,drift,passes,n,corr
94CC_6RQ-2026-08-31_08-29-54,bench,"split: offline feats, late speed",7.201388310304485,1,1,1.0
94CC_6RQ-2026-08-31_08-29-54,bench,"split: V1 feats, centred speed",4.35889279280282,1,1,0.43034422832680835
Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,offline (centred),2.383133262351947,1,1,1.0
Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,"V1 replica, trailing",1.827240388351742,1,1,0.3367833127015072
Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,V2 gravity sensor,1.9916369702084056,1,1,0.5160505646504979
Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,V3 edge engine,3.561308476026839,1,1,0.40210856321017246
Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,"split: offline feats, late speed",1.1923046554128358,1,1,1.0
Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,"split: V1 feats, centred speed",3.4162997210879023,1,1,0.3367833127015072
new_senior-2026-08-31_08-19-37,bench,offline (centred),7.07625635091861,1,1,0.9999999999999999
new_senior-2026-08-31_08-19-37,bench,"V1 replica, trailing",11.710215468742891,0,1,0.42115070300528595
new_senior-2026-08-31_08-19-37,bench,V2 gravity sensor,17.924487868190248,0,1,0.27287017988654316
new_senior-2026-08-31_08-19-37,bench,V3 edge engine,19.002547066424867,0,1,0.19667619516804002
new_senior-2026-08-31_08-19-37,bench,"split: offline feats, late speed",9.76594386367634,1,1,0.9999999999999999
new_senior-2026-08-31_08-19-37,bench,"split: V1 feats, centred speed",8.62448614734927,1,1,0.42115070300528595
app_DhruvaRun_2026-09-11_19-37-43,evening,offline (centred),3.393643338803481,11,11,1.0
app_DhruvaRun_2026-09-11_19-37-43,evening,"V1 replica, trailing",9.6911702722918,8,11,0.3186847952359168
app_DhruvaRun_2026-09-11_19-37-43,evening,V2 gravity sensor,13.75515967885044,3,11,0.14683492826573694
app_DhruvaRun_2026-09-11_19-37-43,evening,V3 edge engine,18.29260759541644,1,11,0.16226414773638057
app_DhruvaRun_2026-09-11_19-37-43,evening,"split: offline feats, late speed",4.773882855193657,11,11,1.0
app_DhruvaRun_2026-09-11_19-37-43,evening,"split: V1 feats, centred speed",8.199473362757692,9,11,0.3186847952359168
app_DhruvaRun_2026-09-11_19-41-28,evening,offline (centred),4.519457842675605,11,11,1.0
app_DhruvaRun_2026-09-11_19-41-28,evening,"V1 replica, trailing",6.809970867485758,11,11,0.45813850478345053
app_DhruvaRun_2026-09-11_19-41-28,evening,V2 gravity sensor,2.9173321478862286,10,11,0.15794825712468472
app_DhruvaRun_2026-09-11_19-41-28,evening,V3 edge engine,2.884213446426458,10,11,0.13583560006828307
app_DhruvaRun_2026-09-11_19-41-28,evening,"split: offline feats, late speed",6.777955753213429,11,11,1.0
app_DhruvaRun_2026-09-11_19-41-28,evening,"split: V1 feats, centred speed",4.45534134790881,11,11,0.45813850478345053
