held_out,draw,scenario,shape_median_m,shape_p95_m,drift_pct
948G_RVV-2026-08-30_16-31-01,0,1 contributor,6.461552727763373,9.481328792982096,13.138420943077362
948G_RVV-2026-08-30_16-31-01,0,3 contributors,2.0943531203140187,4.641496269853225,1.1252977779602773
948G_RVV-2026-08-30_16-31-01,0,faulty contributor alone,3.4932612009700295,42.290503207959205,7.183775308704579
948G_RVV-2026-08-30_16-31-01,0,"3 incl. faulty, averaged",3.436515539755148,16.768227534425822,13.76449704071542
948G_RVV-2026-08-30_16-31-01,0,"3 incl. faulty, median",3.0852389444460453,8.613039096377543,13.873974892409619
948G_RVV-2026-08-30_16-31-01,0,"all others, median",2.1309189911713378,4.2477011492907675,1.4005577129332456
948G_RVV-2026-08-30_16-31-01,1,1 contributor,2.2149055470384935,10.807026689764383,0.5608114076224742
948G_RVV-2026-08-30_16-31-01,1,3 contributors,4.935300119087055,9.053528551002227,13.822531959684268
948G_RVV-2026-08-30_16-31-01,1,faulty contributor alone,8.193970066120468,45.53418078486566,12.995174522825513
948G_RVV-2026-08-30_16-31-01,1,"3 incl. faulty, averaged",6.115850397153983,18.546351223123104,14.037809426122928
948G_RVV-2026-08-30_16-31-01,1,"3 incl. faulty, median",5.370377675570369,9.04558880573204,13.43453058450832
948G_RVV-2026-08-30_16-31-01,2,1 contributor,3.5160072938043916,44.559411210317634,7.351300624854205
948G_RVV-2026-08-30_16-31-01,2,3 contributors,2.005473006290824,7.8074827373443725,1.2859265038453516
948G_RVV-2026-08-30_16-31-01,2,faulty contributor alone,2.1967404751780983,43.8353372888278,11.588801707190175
948G_RVV-2026-08-30_16-31-01,2,"3 incl. faulty, averaged",4.659977496476333,15.9902160560244,3.5510309218330667
948G_RVV-2026-08-30_16-31-01,2,"3 incl. faulty, median",1.9614781379150754,7.815100893385417,1.0992339218315914
948G_RVV-2026-08-30_16-31-01,3,1 contributor,2.8375031515819558,8.120431467292882,0.9521982976634638
948G_RVV-2026-08-30_16-31-01,3,3 contributors,3.2137728032782293,6.878794981893753,0.8036938467968109
948G_RVV-2026-08-30_16-31-01,3,faulty contributor alone,5.140530980244071,43.57513612664811,11.813882284153488
948G_RVV-2026-08-30_16-31-01,3,"3 incl. faulty, averaged",4.492442289688807,16.432217470454543,3.6975620272176917
948G_RVV-2026-08-30_16-31-01,3,"3 incl. faulty, median",3.6622557736804198,6.863827892071811,0.7839872968536225
948G_RVV-2026-08-30_16-31-01,4,1 contributor,2.2149055470384935,10.807026689764383,0.5608114076224742
948G_RVV-2026-08-30_16-31-01,4,3 contributors,2.0850003819576313,7.8016142552825976,0.44154543604819585
948G_RVV-2026-08-30_16-31-01,4,faulty contributor alone,6.223773107470025,42.75956347284322,12.555796277812721
948G_RVV-2026-08-30_16-31-01,4,"3 incl. faulty, averaged",4.311445584662267,15.675386792819411,3.3207816637518786
948G_RVV-2026-08-30_16-31-01,4,"3 incl. faulty, median",2.3870710763151672,7.799970079518675,0.4831010327952503
948G_RVV-2026-08-30_16-31-01,5,1 contributor,6.461552727763373,9.481328792982096,13.138420943077362
948G_RVV-2026-08-30_16-31-01,5,3 contributors,5.071803231694953,9.043644439713063,13.881906780161374
948G_RVV-2026-08-30_16-31-01,5,faulty contributor alone,9.225988595126559,46.10189104517352,7.670410652852702
948G_RVV-2026-08-30_16-31-01,5,"3 incl. faulty, averaged",6.553759510090525,18.250036152050075,13.798388144631941
948G_RVV-2026-08-30_16-31-01,5,"3 incl. faulty, median",5.255001919146073,9.181389369841677,13.881906780161374
948G_RVV-2026-08-30_16-31-01,6,1 contributor,2.2149055470384935,10.807026689764383,0.5608114076224742
948G_RVV-2026-08-30_16-31-01,6,3 contributors,2.1124672968604568,4.489917274904073,0.976433922264996
948G_RVV-2026-08-30_16-31-01,6,faulty contributor alone,2.772870233324336,43.994566826322085,10.295868171787264
948G_RVV-2026-08-30_16-31-01,6,"3 incl. faulty, averaged",3.0668869767936187,16.594190864251324,3.8570214171969095
948G_RVV-2026-08-30_16-31-01,6,"3 incl. faulty, median",2.2138741383306284,5.110082072872569,1.236253609699258
948G_RVV-2026-08-30_16-31-01,7,1 contributor,5.499449304636526,34.35749012933053,1.5171923885483392
948G_RVV-2026-08-30_16-31-01,7,3 contributors,3.534518405131578,7.267663526463445,1.1577283533490847
948G_RVV-2026-08-30_16-31-01,7,faulty contributor alone,5.306088360164475,43.00444328578629,16.303818987888203
948G_RVV-2026-08-30_16-31-01,7,"3 incl. faulty, averaged",5.676595903552798,16.984328006427305,5.568123893901614
948G_RVV-2026-08-30_16-31-01,7,"3 incl. faulty, median",4.092193347878015,7.433577178291384,4.264211736409057
948G_RVV-2026-08-30_16-31-01,8,1 contributor,2.2149055470384935,10.807026689764383,0.5608114076224742
948G_RVV-2026-08-30_16-31-01,8,3 contributors,2.770728335553184,7.983793388579707,0.9399697940476327
948G_RVV-2026-08-30_16-31-01,8,faulty contributor alone,9.033191486471281,46.39283002946601,11.462424012993722
948G_RVV-2026-08-30_16-31-01,8,"3 incl. faulty, averaged",5.632233754177973,16.892196909033743,3.7590938086056127
948G_RVV-2026-08-30_16-31-01,8,"3 incl. faulty, median",2.681023607605667,7.996331727858857,0.9809594271396058
948G_RVV-2026-08-30_16-31-01,9,1 contributor,1.6829885275295884,4.955826135498008,1.8307215726318107
948G_RVV-2026-08-30_16-31-01,9,3 contributors,1.6371620489869514,4.451248223534337,1.3087808491221804
948G_RVV-2026-08-30_16-31-01,9,faulty contributor alone,6.393843756780937,42.2241519433092,11.425530965708663
948G_RVV-2026-08-30_16-31-01,9,"3 incl. faulty, averaged",2.7153121934799045,16.81166039988421,3.6934354803837284
