ride,mount,model,case,dest_node,route_m,deviated,alarm,dev_m,alarm_m,pos_err_m,followed_m,outcome,delay_m
Department_of_Electronics_Communication-2026-08-31_08-23-23,pocket,Department_of_Electronics_Communication-2026-08-31_08-23-23.pt,wrong,9602305583,337.2795654407135,True,True,322.3379957973929,383.6832839360205,62.84185215711757,322.3379957973929,caught,61.34528813862755
Department_of_Electronics_Communication-2026-08-31_08-23-23,pocket,Department_of_Electronics_Communication-2026-08-31_08-23-23.pt,wrong,9926634758,583.7795527888916,True,True,311.0491145068864,342.1990685232295,79.51493414368021,311.0491145068864,caught,31.149954016343145
new_senior-2026-08-31_08-19-37,pocket,new_senior-2026-08-31_08-19-37.pt,true,5334480496,566.8231032547876,True,True,143.1500217565128,145.55477891282774,76.64738212705713,143.1500217565128,caught,2.404757156314929
new_senior-2026-08-31_08-19-37,pocket,new_senior-2026-08-31_08-19-37.pt,wrong,9602305583,166.61566509517962,True,True,143.1500217565128,145.55477891282774,76.64738212705713,143.1500217565128,caught,2.404757156314929
new_senior-2026-08-31_08-19-37,pocket,new_senior-2026-08-31_08-19-37.pt,wrong,3846582275,387.9099671048099,True,True,143.1500217565128,118.08362600573597,96.8138628325767,143.1500217565128,caught,-25.06639575077685
new_senior-2026-08-31_08-19-37,pocket,new_senior-2026-08-31_08-19-37.pt,wrong,9926634758,463.94738480344597,True,True,371.88869983810355,728.6388547404091,42.37542819428856,371.88869983810355,caught,356.75015490230555
app_DhruvaRun_2026-09-11_13-42-07,mounted,speed_app_replica.pt,true,3912779948,730.1042234418173,False,False,,,40.22266645742198,679.3935142750584,quiet (correct),
app_DhruvaRun_2026-09-11_13-42-07,mounted,speed_app_replica.pt,wrong,9602305583,160.61566509517962,True,True,153.7158874546673,161.6818464700386,64.45652408912282,153.7158874546673,caught,7.965959015371311
app_DhruvaRun_2026-09-11_13-42-07,mounted,speed_app_replica.pt,wrong,9047445013,164.07753958121896,True,True,186.21939034498982,393.0909700001737,44.20668591306024,186.21939034498982,caught,206.87157965518384
app_DhruvaRun_2026-09-11_13-42-07,mounted,speed_app_replica.pt,wrong,3846582275,381.9099671048099,True,True,152.3905367372271,128.4238086029143,111.85375492932651,152.3905367372271,caught,-23.966728134312802
app_DhruvaRun_2026-09-11_13-46-20,mounted,speed_app_replica.pt,true,696399381,691.8596605588542,False,False,,,0.2076194077831088,684.3422211854778,quiet (correct),
app_DhruvaRun_2026-09-11_13-46-20,mounted,speed_app_replica.pt,wrong,9047445013,373.869845222227,True,True,381.60137946703685,361.2657413221144,98.13356232046353,381.60137946703685,caught,-20.335638144922427
app_DhruvaRun_2026-09-11_13-46-20,mounted,speed_app_replica.pt,wrong,9602305583,421.2397030962761,True,True,397.10490743919866,390.0130696950373,111.50883418344533,397.10490743919866,caught,-7.091837744161353
app_DhruvaRun_2026-09-11_19-37-43,mounted,speed_app_replica.pt,true,3912779948,572.0307091900124,False,False,,,29.11541440596568,526.3146723388847,quiet (correct),
app_DhruvaRun_2026-09-11_19-41-28,mounted,speed_app_replica.pt,true,3846582275,581.8995229032917,False,True,,556.70538333472,10.13835963423469,556.9184412635917,false alarm,
app_DhruvaRun_2026-09-11_19-41-28,mounted,speed_app_replica.pt,wrong,9047445013,311.90970756666445,True,True,318.49322173605844,335.2614478849076,87.19640037626584,318.49322173605844,caught,16.76822614884918
app_DhruvaRun_2026-09-11_19-41-28,mounted,speed_app_replica.pt,wrong,9602305583,359.2795654407135,True,True,341.0232566366029,371.5651528336999,86.19587146928284,341.0232566366029,caught,30.541896197097003
