set,ride,kind,cut_s,gps_off_m,cal_used_s,scale,raw,cal,raw_pass,cal_pass,n
B,94CC_6RQ-2026-08-31_08-29-54,bench,60.0,624.4690767955651,30.0,1.056727665887647,1.9966276193905386,3.553120112633674,1,1,1
B,94CC_6RQ-2026-08-31_08-29-54,bench,75.0,545.5052445763678,45.0,1.0261569233998271,2.614852317568704,0.16060788140378066,1,1,1
B,94CC_6RQ-2026-08-31_08-29-54,bench,90.0,452.72860108906167,60.0,1.0666051837878419,0.170182438147062,6.644297027604317,1,1,1
B,94CC_6RQ-2026-08-31_08-29-54,bench,105.0,353.59543573613746,75.0,1.1274533083046114,8.348739252713656,22.052654733818216,1,0,1
A,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,60.0,532.5994259988374,30.0,1.25,1.1823612229125002,24.629424204940875,1,0,1
B,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,45.0,641.4386595987298,15.0,1.25,3.211056957267247,26.79757384930384,1,0,1
B,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,60.0,532.5994259988374,30.0,1.25,1.1823612229125002,24.629424204940875,1,0,1
B,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,75.0,446.38122915367455,45.0,1.25,1.769552055671077,26.448715599445286,1,0,1
B,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,90.0,346.34871666138133,60.0,1.25,8.169170795762765,35.04749809161668,1,0,1
A,new_senior-2026-08-31_08-19-37,bench,60.0,759.7827171323039,30.0,1.01726200591579,9.371793274353859,11.074391152778697,1,0,1
B,new_senior-2026-08-31_08-19-37,bench,45.0,837.2180549183142,15.0,1.0631208260869365,9.078404824462382,15.650894979056142,1,0,1
B,new_senior-2026-08-31_08-19-37,bench,60.0,759.7827171323039,30.0,1.01726200591579,9.371793274353859,11.074391152778697,1,0,1
B,new_senior-2026-08-31_08-19-37,bench,75.0,693.955906310116,45.0,0.9542375607717873,8.069951176363048,5.677042835415239,1,1,1
B,new_senior-2026-08-31_08-19-37,bench,90.0,617.2336152305327,60.0,0.9483696775484641,9.030219365154448,6.371990338361737,1,1,1
B,new_senior-2026-08-31_08-19-37,bench,105.0,527.6191495113245,75.0,0.9666517411100174,11.024604916656358,8.544935169275183,0,1,1
B,new_senior-2026-08-31_08-19-37,bench,120.0,462.97568064596817,90.0,0.9245944621574179,42.8645171728188,34.40213529823854,0,0,1
B,new_senior-2026-08-31_08-19-37,bench,135.0,390.50865506739694,105.0,0.9239477980759447,15.824060497189869,10.597793009518771,0,0,1
B,new_senior-2026-08-31_08-19-37,bench,150.0,304.45802836841824,120.0,0.942813774776072,16.147514147044635,13.162588832777956,0,0,1
A,app_DhruvaRun_2026-09-11_19-37-43,evening,55.0,539.7985855980876,25.0,0.9305221982264232,3.569700820863593,3.83011730694714,11,10,11
B,app_DhruvaRun_2026-09-11_19-37-43,evening,45.0,579.9001627188115,15.0,1.0092672151985427,5.62089217255132,7.719016377962998,11,8,11
B,app_DhruvaRun_2026-09-11_19-37-43,evening,60.0,511.1438637145128,30.0,0.9593368765555348,4.089002232917998,1.1061402608866548,11,11,11
B,app_DhruvaRun_2026-09-11_19-37-43,evening,75.0,428.94827367928775,45.0,0.997411699177892,6.404143573200566,5.020572281166586,11,10,11
B,app_DhruvaRun_2026-09-11_19-37-43,evening,90.0,359.1841989207272,60.0,0.9961292868118619,6.594507941476857,5.808261111102477,9,10,11
A,app_DhruvaRun_2026-09-11_19-41-28,evening,48.0,485.38393128246724,18.0,1.0261132866000375,8.37537424983257,6.329527316152085,10,10,11
B,app_DhruvaRun_2026-09-11_19-41-28,evening,45.0,496.4221565257263,15.0,1.0631234132289051,7.920499684342748,3.255641834397519,11,11,11
B,app_DhruvaRun_2026-09-11_19-41-28,evening,60.0,427.7524909111137,30.0,1.0356868739165679,7.543410618809155,5.014758867145677,11,10,11
B,app_DhruvaRun_2026-09-11_19-41-28,evening,75.0,348.9814743642645,45.0,1.0633454894560948,6.370828617656492,1.9252082078341648,11,11,11
