time,seconds_elapsed,mslAltitudeAccuracy,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,altitudeAboveMeanSeaLevel,bearing,altitude,longitude,latitude
1788165216122048300,1.19004833984375,,179.89999389648438,2.299999952316284,1.4393805265426636,5.300000190734863,0.12095972150564194,,258,569.2999877929688,75.1272517,15.366665
1788165217009466400,2.07746630859375,,0,2,1.010874629020691,4.5,0.026765555143356323,,0,569,75.1272783,15.3666517
1788165217514784800,2.58278466796875,,0,1.7000000476837158,1.015927791595459,4,0.05456055700778961,,0,569,75.1272533,15.3666267
1788165218010695700,3.07869580078125,,179.89999389648438,1.5,1.0208868980407715,3.700000047683716,0.15132834017276764,,108,569,75.1272467,15.3666183
1788165218512027400,3.58002734375,,179.89999389648438,1.2000000476837158,1.0259002447128296,3.4600000381469727,0.10706222057342529,,127,569,75.1272417,15.3666167
1788165219580194000,4.648194091796875,,0,1.2000000476837158,1.0365819931030273,3.299999952316284,0,,0,569,75.1272433,15.3666183
1788165221038089500,6.10608935546875,,179.89999389648438,2.799999952316284,1.0511609315872192,3.1710000038146973,0.3850122094154358,,184,569,75.1272483,15.3666133
1788165222031491600,7.09949169921875,,0,3.0999999046325684,1.061094880104065,2.615999937057495,0,,0,569,75.1272533,15.3666033
1788165223182169900,8.250169921875,,0,3.9000000953674316,1.0726016759872437,2.4800000190734863,0,,0,569,75.1272583,15.3665967
1788165224052694800,9.12069482421875,,0,3.5999999046325684,1.0813069343566895,2.5199999809265137,0,,0,569,75.1272533,15.3665883
1788165225138126300,10.206126220703124,,0,2.0999999046325684,1.0921612977981567,2.5799999237060547,0,,0,569,75.1272417,15.36658
1788165226042580500,11.11058056640625,,0,2.0999999046325684,1.101205825805664,2.6600000858306885,0,,0,569,75.127235,15.366575
1788165227023675000,12.0916748046875,,0,2.299999952316284,1.1110167503356934,2.683000087738037,0,,0,569,75.1272267,15.366565
1788165228010463500,13.07846337890625,,0,3.299999952316284,1.8090046644210815,2.7160000801086426,0,,0,569.0999755859375,75.1272367,15.3665667
1788165229010347300,14.07834716796875,,0,2.200000047683716,1.8190034627914429,2.7660000324249268,0,,0,569.0999755859375,75.1272433,15.3665717
1788165230010271000,15.07827099609375,,0,1.7999999523162842,1.8290027379989624,2.75,0,,0,569.0999755859375,75.127215,15.3665967
1788165231011698200,16.0796982421875,,0,1.7000000476837158,1.8390170335769653,2.7160000801086426,0,,0,569.0999755859375,75.1272017,15.3665967
1788165232016614400,17.084614501953126,,0,1.600000023841858,1.849066138267517,2.700000047683716,0,,0,569.0999755859375,75.1272,15.3665833
1788165233013927400,18.081927490234374,,0,2.200000047683716,1.859039306640625,2.680000066757202,0,,0,569.0999755859375,75.1272267,15.3665467
1788165234014624800,19.082624755859374,,0,2.700000047683716,1.8690463304519653,2.6600000858306885,0,,0,569.0999755859375,75.1272733,15.3665167
1788165235016679200,20.08467919921875,,19.700000762939453,2.4000000953674316,1.879066824913025,2.700000047683716,2.0171964168548584,,129,569.0999755859375,75.1273117,15.36649
1788165235460000000,20.528,,0,0,3.0800821781158447,3.1589999198913574,0,,0,569.0999755859375,75.1273117,15.36649
1788165236011982600,21.079982666015624,,21.200000762939453,2.299999952316284,3.085602045059204,3.2090001106262207,2.4392685890197754,,131,569.0999755859375,75.1273467,15.36646
1788165237019853600,22.087853515625,,24.399999618530273,2.299999952316284,3.0956807136535645,3.259000062942505,2.7388370037078857,,124,569.0999755859375,75.1273917,15.3664433
1788165238014532400,23.082532470703125,,29.5,2.5,3.1056275367736816,3.309000015258789,2.987447738647461,,114,569.0999755859375,75.1274267,15.36643
1788165239011488300,24.07948828125,,37.29999923706055,2.799999952316284,3.1155970096588135,3.2790000438690186,3.1706888675689697,,107,569.0999755859375,75.1274567,15.3664133
1788165240022107000,25.09010693359375,,26.399999618530273,2.299999952316284,3.1257033348083496,3.443000078201294,3.395622491836548,,70,569.0999755859375,75.127485,15.3664267
1788165241011873800,26.079873779296875,,39.79999923706055,4.599999904632568,3.1356008052825928,3.049999952316284,3.6385715007781982,,66,569.0999755859375,75.1275317,15.3664417
1788165242012212500,27.08021240234375,,30.299999237060547,3.4000000953674316,3.145604372024536,3.0829999446868896,3.902109146118164,,57,569.0999755859375,75.1275833,15.3664717
1788165243029893000,28.09789306640625,,27.899999618530273,3,3.1557810306549072,3.119999885559082,3.9257864952087402,,52,569.0999755859375,75.1276167,15.3664983
1788165244016262700,29.0842626953125,,13.199999809265137,2.200000047683716,3.165644884109497,3.140000104904175,4.088953495025635,,41,569.0999755859375,75.1276617,15.3665517
1788165245015675400,30.08367529296875,,13.100000381469727,2.0999999046325684,3.1756389141082764,3.1500000953674316,4.174911975860596,,44,569.0999755859375,75.1277183,15.3665917
1788165246020198100,31.0881982421875,,17.100000381469727,2.4000000953674316,3.1856842041015625,3.1600000858306885,4.261899948120117,,49,569.0999755859375,75.127765,15.3666133
1788165247020210000,32.0882099609375,,22.299999237060547,2.5999999046325684,3.1956841945648193,3.180000066757202,4.353520393371582,,56,569.0999755859375,75.12781,15.3666267
1788165248017572000,33.085572021484374,,14.699999809265137,2,2.414698839187622,3.183000087738037,4.4755096435546875,,106,571,75.1278583,15.36661
